Series,URL
RHOC,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Orange_County
RHONY,https://en.wikipedia.org/wiki/The_Real_Housewives_of_New_York_City
RHOA,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Atlanta
RHONJ,https://en.wikipedia.org/wiki/The_Real_Housewives_of_New_Jersey
RHOBH,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Beverly_Hills
RHOM,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Miami
RHOP,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Potomac
RHOD,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Dallas
RHOSLC,https://en.wikipedia.org/wiki/The_Real_Housewives_of_Salt_Lake_City
